control,branch,value,unit,description,read_by,ruling,note
incoming_ts_memory,bridge,500,entries,How many incoming message timestamps are kept for the crossed-in-transit check,_note_incoming_ts(),Yakov #2915,Paired with incoming_ts_trim
incoming_ts_trim,bridge,200,entries,How many of the oldest timestamps are dropped once incoming_ts_memory is exceeded,_note_incoming_ts(),Yakov #2915,Paired with incoming_ts_memory; split into its own row because a table row holds one value
queue_drain_limit,bridge,10000,messages,Ceiling on how many queued messages a single STOP drains,_kill_and_drain(),GOL-180,"Effectively unbounded in normal use; it is a guard against a runaway loop, not a policy on queue size"
tool_bash_timeout,routing,90,seconds,Wall-clock cap on ONE bash tool call inside the agentic loop,_exec_tool() -- engine_core.py,Yakov 2026-08-30 (routing sweep),"The widest tool, so the longest cap. A run may make many such calls; this bounds each one, not the run"
tool_grep_timeout,routing,30,seconds,Cap on one grep tool call,_exec_tool() -- engine_core.py,Yakov 2026-08-30 (routing sweep),
tool_glob_timeout,routing,30,seconds,Cap on one glob tool call,_exec_tool() -- engine_core.py,Yakov 2026-08-30 (routing sweep),
guard_check_timeout,routing,40,seconds,Cap on the per-tool-call permission check that runs before every tool call,_guard() -- engine_core.py,Yakov 2026-08-30 (routing sweep),"Sits in front of EVERY tool call, so it is on the hot path twice per step"
sudo_read_timeout,routing,30,seconds,Cap on a file read performed as the agent's own OS user,_read_via_user() -- engine_core.py,Yakov 2026-08-30 (routing sweep),
sudo_write_timeout,routing,30,seconds,Cap on a file write performed as the agent's own OS user,_write_via_user() -- engine_core.py,Yakov 2026-08-30 (routing sweep),
pdfinfo_timeout,routing,20,seconds,Cap on the PDF page-count probe that decides heavy vs cheap extraction tool,_pdf_pages() -- task_router.py,Yakov 2026-08-30 (routing sweep),
notify_timeout,routing,15,seconds,Cap on the notify.sh call that sends a proactive routing alert,_alert() -- engine_router.py,Yakov 2026-08-30 (routing sweep),Deliberately short: an alert that cannot be sent must not delay the routing decision it describes
key_limits_timeout,routing,20,seconds,Cap on the OpenRouter key-metadata call (remaining credit / rate limits),key_limits() -- openrouter.py,Yakov 2026-08-30 (routing sweep),"Deliberately NOT the per-engine http_timeout_s: this is a metadata call, not a completion"
blank_turn_retries,routing,3,count,How many times a blank model turn is re-forced before the step gives up,_run_once() -- engine_core.py,Yakov 2026-08-30 (routing sweep),
stagnation_repeat_calls,routing,3,count,The same tool call repeated N times in a row counts as stagnation,_stagnant() -- engine_core.py,Yakov 2026-08-30 (routing sweep),One of four independent stagnation shapes
stagnation_ab_window,routing,4,count,An A-B-A-B oscillation over N calls counts as stagnation,_stagnant() -- engine_core.py,Yakov 2026-08-30 (routing sweep),One of four independent stagnation shapes
stagnation_abc_window,routing,6,count,An A-B-C-A-B-C oscillation over N calls counts as stagnation,_stagnant() -- engine_core.py,Yakov 2026-08-30 (routing sweep),One of four independent stagnation shapes
stagnation_identical_outputs,routing,3,count,"N identical tool OUTPUTS in a row counts as stagnation, even when the calls differ",_stagnant() -- engine_core.py,Yakov 2026-08-30 (routing sweep),The only one of the four that watches results rather than calls
missing_tool_same_name_limit,routing,2,count,Calling the SAME nonexistent tool N times ends the run as a capability gap,_run_once() -- engine_core.py,Yakov 2026-08-30 (routing sweep),Paired with missing_tool_total_limit
missing_tool_total_limit,routing,3,count,Calling ANY nonexistent tools N times in total ends the run as a capability gap,_run_once() -- engine_core.py,Yakov 2026-08-30 (routing sweep),Paired with missing_tool_same_name_limit
wrapup_nudge_point,routing,0.6,fraction of max_steps,The point in the run where the model is told to stop exploring and converge,_run_once() -- engine_core.py,Yakov 2026-08-30 (routing sweep),Paired with wrapup_nudge_min_steps
wrapup_nudge_min_steps,routing,5,count,Below this max_steps the wrap-up nudge is skipped entirely,_run_once() -- engine_core.py,Yakov 2026-08-30 (routing sweep),A short run has no room for a mid-course correction; nudging it would only cost a step
ctx_trim_target_ratio,routing,0.6,fraction of ctx_byte_budget,"After a trim, how far below the budget the conversation is cut back to",_trim() -- engine_core.py,Yakov 2026-08-30 (routing sweep),Hysteresis: trimming exactly to the budget would re-trigger on the very next turn
ctx_trim_floor_messages,routing,6,count,"A conversation this short or shorter is never trimmed, whatever its byte size",_trim() -- engine_core.py,Yakov 2026-08-30 (routing sweep),Protects the system message plus the task from being evicted by their own size
stderr_share_divisor,routing,6,divisor,Share of the tool-output cap reserved for stderr: cap divided by this,_cap_bash() -- engine_core.py,Yakov 2026-08-30 (routing sweep),"Paired with stderr_share_floor, whichever is larger"
stderr_share_floor,routing,1000,characters,Minimum stderr kept regardless of the tool-output cap,_cap_bash() -- engine_core.py,Yakov 2026-08-30 (routing sweep),Paired with stderr_share_divisor; guarantees an error message survives a small cap
handoff_max_turns,routing,15,turns,How many conversation turns are carried to the next engine when a run escalates,_delivery_package() -- engine_core.py,Yakov 2026-08-30 (routing sweep),Paired with handoff_per_turn_chars
handoff_per_turn_chars,routing,600,characters,Per-turn character budget inside that handoff package,_delivery_package() -- engine_core.py,Yakov 2026-08-30 (routing sweep),Paired with handoff_max_turns
triage_task_chars,routing,4000,characters,How much of the task text is sent to the pre-flight triage gate,_triage() -- engine_core.py,Yakov 2026-08-30 (routing sweep),"WHICH ENGINE serves triage is a routing decision and lives in task_routing_rules.csv, not here"
triage_max_tokens,routing,1500,tokens,Output cap on the pre-flight triage call,_triage() -- engine_core.py,Yakov 2026-08-30 (routing sweep),"Raised 400 -> 1500 on 2026-08-30 after a live run: the gate is served by a REASONING model, whose thinking tokens count against this cap, and a real answer measured 339 completion tokens. At 400 the JSON truncated mid-object, rfind(""}"") found no closing brace, and the gate returned None -- failing open on exactly the tasks that had most to say. Still far cheaper than the 15-30 loop steps it exists to save."
overflow_alert_cooldown,routing,600,seconds,Minimum gap between repeats of the same overflow or override alert,_maybe_alert() -- engine_router.py,Yakov 2026-08-30 (routing sweep),
weekly_token_window,routing,7,days,Lookback window for the weekly Claude token budget,_weekly_claude_tokens() -- engine_router.py,Yakov 2026-08-30 (routing sweep),"backlog_threshold and weekly_max_tokens themselves are already external, in engines/overflow.json"
live_chat_max_steps,routing,30,count,"Step ceiling on the LIVE conversation path, which overrides engine_adapters.csv's per-engine max_steps",adapters.chat() and dispatch.converse(),Yakov 2026-08-30 (routing sweep),Declared 2026-08-30 to make an existing silent override visible. Dispatched work keeps the per-engine table value; a live conversation is different work and gets a higher ceiling. Behaviour unchanged by this row
retry_backoff_base,routing,2,multiplier,Exponential growth factor between HTTP retries: backoff * base**attempt,_http_json() -- openrouter.py,Yakov 2026-08-30 (routing sweep),"Distinct from engine_adapters.csv's retry_backoff_s, which is the FIRST wait; this is how it grows"
claude_cli_silence_s,routing,600,seconds,Silence window for a Claude-CLI subprocess: kill it only if it has produced NO output for this long. Not a total time limit -- a long tool-using run that keeps printing is never cut.,claude_cli._stream_with_liveness(),Yakov 2026-08-30,"Was SILENCE = int(os.environ.get(""RUN_AGENT_SILENCE"", ""600"")) -- a compiled default AND an env override, two more sources for one number. Both deleted; this row is the only source. Value carried over unchanged from the constant it replaces."
claude_cli_max_wall_s,routing,0,seconds,"Absolute wall-clock ceiling for a Claude-CLI subprocess, regardless of output. 0 = OFF, and off is the deliberate default: the silence window above is the real guard, and a hard ceiling would kill a long, healthy, still-producing run.",claude_cli._stream_with_liveness(),Yakov 2026-08-30,"Was MAX_WALL = int(os.environ.get(""RUN_AGENT_MAX"", ""0"")). Same two-sources problem as the row above. 0 is meaningful here, not empty -- it is the switch that turns the ceiling off."
checkpoint_max_mb,runtime,500,megabytes,Ceiling on one run's checkpoint store. Crossing it stops the run and alerts instead of filling the disk.,"the runtime, before each checkpoint write",Yakov #6321 / #6297,Added after a runaway loop wrote a 90 GB checkpoint database on 2026-08-31 and took the server to 93% full.
run_step_ceiling,runtime,400,supersteps,"Hard ceiling on how many graph steps ONE run may execute, loops included. It is the backstop above every per-step loop_ceiling: a 48-step flow whose loops all run to their limit stays far below it, and a routing bug that would otherwise spin for ever hits it and stops.","the runtime, as the graph recursion limit on every invoke and resume","Interface proposal during the phase A build, #6490",The 2026-08-31 runaway that wrote 90 GB of checkpoints had no ceiling of this kind. Per-step loop_ceiling bounds ONE loop; this bounds the whole run.
gate_poll_seconds,runtime,3,seconds,"How long ONE Telegram long-poll waits before asking again. This is the worst-case delay between Yakov pressing a button and the run moving. Measured 2026-08-31 at 25 seconds: the answered gates showed waits of 24, 40 and 51 seconds - multiples of the cycle, not of Yakov. Three seconds costs about twenty requests a minute, far inside Telegram's limits, and makes the button feel immediate.",the Telegram gate channel,"Interface proposal during the phase A build, #6534",Telegram's own getUpdates long-poll ceiling is 50s; 25 keeps a stop responsive.
gate_timeout_minutes,runtime,1440,minutes,"How long a run waits at a human gate before it stops waiting and leaves the run paused on disk. The run is NOT cancelled - the checkpoint holds, and resuming it later is one command.",the Telegram gate channel,"Interface proposal during the phase A build, #6490",A gate is a human decision; the default is a full day so a night does not kill a run.
engine_timeout_seconds,runtime,600,seconds,Ceiling on one engine call made through the single engine wrapper.,the engine wrapper,"Interface proposal during the phase A build, #6490",
artifact_max_mb,runtime,200,megabytes,"Largest single file the artifact store accepts on the host. Above it the run stops and asks, rather than silently parking something enormous.",the artifact store,ruling 8,Heavy files never enter git; this bounds what enters the host store too.
commit_file_max_kb,runtime,2048,kilobytes,The file-size gate: no file this large or larger may enter a commit on the runtime repository.,the push gates,ruling 8,This is the gate that stops a render or a CAD export slipping into the repository.
agent_loop_max_turns,runtime,12,turns,How many times ONE agent step may go round the think-call-a-tool-read-the-result loop before it must answer. The step ends with whatever it has; it is never cut off silently - the record says the ceiling was reached.,the agent loop in the engine wrapper,"Interface proposal during the phase A build, #6506",Bounds cost and time per step. The run_step_ceiling bounds the whole run; this bounds one step inside it.
tool_timeout_seconds,runtime,120,seconds,"Ceiling on one local tool call - a fetch, a file write, a read.",the tool layer,"Interface proposal during the phase A build, #6506",
unattended_gates,runtime,6 24 26 36,steps,"Which human gates of a run answer themselves instead of stopping for Yakov. Empty = every gate asks. Yakov #6809: cancel the six least important, so a full design-robot run costs six answers and not twelve. Two of those six - 17 and 39, the outbound-email gates - stopped existing when Yakov #6801/#6812 replaced the supplier emails with a web search and CAD modelling, so only four numbers remain here and the run still costs six answers. THE RULE BEHIND THE SIX: a gate that only CONFIRMS what a step already wrote is cancelled, because the file is on disk and in the trace and can be read after the run; a gate that FORKS the run - what continues, what is pruned, what goes to CAD - is kept. Two of the six (17, 39) are the outbound-email gates and cost nothing at all in a run that sends no mail. Kept: 4 the mission, 13 and 22 the alternatives, 28 the simulation prune, 37 the selection for CAD, 46b the design lock.",MixedGate -- gates.py,Yakov #6809,"This is a RUN setting, not a change to the flow: the 48 canonical rows stay exactly as ruling 17 requires. A cancelled gate is still executed and still recorded - stamped actor=auto, provenance=unattended - so the trace never pretends a human decided. Restoring any one of them is deleting its number from this cell."
engine_for_high_difficulty,routing,openai/gpt-5.6-sol>openai/gpt-5.6-terra,route,"Which route a flow row marked `difficulty=high` is given. Everything else keeps the route of its own agent row. THE POINT OF THIS ROW: the flow declares how HARD the work is - a property of the work - and the routing layer alone turns hardness into a model. The flow never learns a model name, so the iron rule holds: the agent engine never asks for a specific model.",route_for() -- engine.py,Yakov #6833,"The ten high rows of design-robot, chosen by one rule - expensive wherever a mistake is not caught later: 3 the capability list, 9 propose alternatives, 11 filter against the spec, 14 select chassis/wheels/drive/gripper, 20 choose parts, 25 make them better, 29 cross-check combinations, 31 apply the simulation conclusions, 39 model from a picture, 43a the final CAD. Runners-up not taken: 34 and 42. Cost: sol is 4/20 per M against luna's 0.2/1.2, about 17x, so the ten rows dominate the bill and the other 24 are nearly free."
skill_chars_in_prompt,runtime,12000,characters,"How much SKILL text an agent carries in its system prompt. The prompt is paid for on every turn of every step, so this is the dial between an agent that knows our methods and a bill that grows with the number of turns. 12000 characters is roughly three full skills. It is deliberately generous for the first real run, where the point is the quality of the deliverable; if the bill argues otherwise, this cell is the one place to argue back.",_skill_bodies() -- compiler.py,Yakov #6838,"Overflow is ANNOUNCED inside the prompt itself, never silently dropped."
forward_review,runtime,on,on/off,"Whether the Interface reads every step's deliverable before the next step begins. Yakov #6842: it judges whether the work is accurate enough, and if it is not it does NOT send it back - the run never goes backwards. It writes an instruction that makes the NEXT step sharper, and the flow carries on.",_review() -- compiler.py,Yakov #6842,Deliberately not a loop and not a branch in the graph: a redo would double the cost of the expensive steps and could not terminate on its own. One short forward-only call is the cheap shape of the same idea. A review that throws is swallowed and recorded - it must never be what kills a run.
forward_note_chars,runtime,600,characters,"How long the note a review may hand to the next step. Short on purpose: it is an instruction, not a second opinion, and it is paid for again in every prompt that carries it forward.",_review() -- compiler.py,Yakov #6842,A review with nothing to say answers OK and costs one line; only a real remark is carried.
closing_report,runtime,on,on/off,"Whether a run writes its own closing report when it ends. Yakov #6847: three sections - what to change in the FLOW table, what to change in the CONTENT the agents produced, and the whole thing with every improvement worth making, most valuable first, each with its cost.",Run._retrospective() -- runner.py,Yakov #6847,"Written from what the run already produced - the running critique the between-step reviews wrote, the trace, and what the record measured - so it costs ONE call and invents nothing. It runs on the high-difficulty route on purpose: it is the one artefact a human reads end to end. A run that walked no step writes none, and a report that throws is recorded and never kills the run."
engine_for_judgement,routing,anthropic/claude-opus-5,route,"The route for the two JUDGEMENT roles - the review between steps and the closing report (#6868). **Claude on the Max subscription, and NOTHING ELSE** (#6881). Yakov asked for the Max subscription and did not ask for GPT here; a cascade to GPT was the Interface's own addition and is removed. If the Max seat is not free the review does not happen and the run carries on without it.",_review() and Run._retrospective(),Yakov #6868,"A single route, deliberately not a cascade. The run waits `claude_seat_wait_seconds` for the seat and then MOVES ON without a review for that step - it never blocks, and it never quietly substitutes a different engine for a judgement Yakov asked Claude to make. A missed review is recorded as such."
claude_seat_wait_seconds,routing,180,seconds,"How long a run waits for the Max seat before giving up on a judgement call and carrying on without it (#6881: three minutes). The seat is held only while the Telegram bridge is composing a reply to Yakov, so three minutes covers almost any single answer.",_claude_slot() -- secrets_bridge.py,Yakov #6881,Giving up means the step has no review. It does NOT mean another engine writes one.
