flow_group,issue_tree,flow_name,step,phase,kind,actor,engine,may_ask,action,input,output,destination,template,agent_confidence_threshold,enforcement_validation_confidence_threshold,mandatory_tags,status_after,next,loop_back_to,loop_ceiling,call_flow,return_to,must_answer,notes
design,run | phase | step,design-robot,3,1 mission,agent-step,Interface,,,Frame the robot function and the capability list,${mission_request} | ${capability_list} | design-robot:2,file,product,,85,90,,In Progress,design-robot:4,,,,,,capability list from #2113 is a run parameter here - not flow steps
design,run | phase | step,design-robot,4,1 mission,human-gate,Yakov,,,Approve the mission spec,design-robot:1 | design-robot:2 | design-robot:3,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:5,,,,,,
design,run | phase | step,design-robot,5,2 competitors,agent-step,Data gathering,,,Research direct competitors,design-robot:4,file,run,,85,90,,In Progress,design-robot:6,,,,,,
design,run | phase | step,design-robot,6,2 competitors,human-gate,Yakov,,,Approve the competitor set,design-robot:5,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:7,,,,,,
design,run | phase | step,design-robot,7,2 competitors,agent-step,Data gathering,,,Collect competitor images and all online data,design-robot:6,file,run,,85,90,Validation required: Validator LLM,In Progress,design-robot:8,,,,,,writes competitors_table.md
design,run | phase | step,design-robot,8,3 alternatives,agent-step,Data gathering,,,Collect environment / materials / role data,design-robot:4,file,run,,85,90,Validation required: Validator LLM,In Progress,design-robot:9,,,,,,
design,run | phase | step,design-robot,9,3 alternatives,agent-step,Analyst,,,Propose principled alternatives: drawing + name + expected weight,design-robot:7 | design-robot:8,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:10,,,,,,Yakov open question in his own draft: engineer or analyst
design,run | phase | step,design-robot,10,3 alternatives,agent-step,Validator,,,Add further alternatives independently,design-robot:8 | design-robot:9,file,product,,85,90,,In Progress,design-robot:11,,,,,,"different agent = different cascade; replaces ""another AI"" in the draft"
design,run | phase | step,design-robot,11,3 alternatives,agent-step,Engineering Lead,,Analyst,Filter alternatives that fail the spec,design-robot:4 | design-robot:9 | design-robot:10,file,product,,85,90,,In Progress,design-robot:12,,,,,,
design,run | phase | step,design-robot,12,3 alternatives,agent-step,Engineering Lead,,,Register every rejected alternative WITH its reason,design-robot:11,file,product,,85,90,,In Progress,design-robot:13,design-robot:9,3,,,,all rejected -> back to 9
design,run | phase | step,design-robot,13,3 alternatives,human-gate,Yakov,,,Review mission understanding / approved alternatives / rejected,design-robot:11 | design-robot:12,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:14,,,,,,
design,run | phase | step,design-robot,14,4 components,agent-step,Engineering Lead,,,Select per alternative: chassis(design) / wheels(shelf) / tool drive(shelf) / gripper / working tool hammer-or-disc(shelf) / tool positioning,design-robot:13,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:15,,,,,,
design,run | phase | step,design-robot,15,4 components,agent-step,Engineering Lead,,,Reject options with no sourceable parts,design-robot:14,file,product,,85,90,,In Progress,design-robot:16,,,,,,
design,run | phase | step,design-robot,16,4 components,agent-step,Data gathering,,,Build the parts list and what data is missing per part,design-robot:15,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:17,,,,,,
design,run | phase | step,design-robot,17,4 components,human-gate,Yakov,,,Approve sending data requests to suppliers,design-robot:16,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:18,,,,,,OUTBOUND gate - required by the validator for the outbound-send at step 18
design,run | phase | step,design-robot,18,4 components,outbound-send,Integration,,,Send the supplier requests,design-robot:16 | design-robot:17,msg-id,linear,,85,90,,In Progress,design-robot:19,,,,,,
design,run | phase | step,design-robot,19,4 components,wait-external,Integration,,,Waiting on the outside world: supplier replies,design-robot:18,file,run,,85,90,,Waiting,design-robot:20,,,,,,"Output = the replies as received, so step 20 has something to resolve against"
design,run | phase | step,design-robot,20,4 components,agent-step,Engineering Lead,,Integration,Choose parts and assemble prototype-able alternatives,design-robot:16 | design-robot:19,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:21,,,,,,
design,run | phase | step,design-robot,21,5 competitor RE,agent-step,Analyst,,,Reverse-engineer competitor robots into comparable alternatives,design-robot:7,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:22,,,,,,
design,run | phase | step,design-robot,22,5 competitor RE,human-gate,Yakov,,,Approve or reject alternatives: competitor and native,design-robot:20 | design-robot:21,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:23,,,,,,
design,run | phase | step,design-robot,23,6 merge,agent-step,Analyst,,,Pros and cons of all alternatives + merge proposals,design-robot:22,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:24,,,,,,
design,run | phase | step,design-robot,24,6 merge,human-gate,Yakov,,,Approve the merges,design-robot:23,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:25,,,,,,
design,run | phase | step,design-robot,25,6 merge,agent-step,Engineering Lead,,,How to make them more efficient / faster / stronger / cheaper,design-robot:24,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:26,,,,,,
design,run | phase | step,design-robot,26,6 merge,human-gate,Yakov,,,Approve the corrections,design-robot:25,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:27,,,,,,
design,run | phase | step,design-robot,27,7 simulation,agent-step,Simulation,,,Prepare the simulation list and run low-resource simulations,design-robot:26,file,run,,85,90,,In Progress,design-robot:28,,,,,,"the pass criterion is Yakov's judgement at step 28, which rejects what failed"
design,run | phase | step,design-robot,28,7 simulation,human-gate,Yakov,,,Reject alternatives failing the low-resource simulations,design-robot:27,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:29,,,,,,
design,run | phase | step,design-robot,29,7 simulation,agent-step,Engineering Lead,,,Cross-check component combinations; leaders proceed,design-robot:28,file,run,,85,90,,In Progress,design-robot:30,,,,,,
design,run | phase | step,design-robot,30,7 simulation,agent-step,Simulation,,,Full load and resource simulations - survivors only,design-robot:29,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:31,,,,,,
design,run | phase | step,design-robot,31,7 simulation,agent-step,Engineering Lead,,Simulation,Apply simulation conclusions,design-robot:30,file,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:32,design-robot:14 / design-robot:9,3,,,,load failure -> 14 stronger part / 9 topology
design,run | phase | step,design-robot,32,8 ranking,agent-step,Analyst,,,Rank by efficiency / price / speed,design-robot:31,file,product,,85,90,,In Progress,design-robot:33,,,,,,
design,run | phase | step,design-robot,33,8 ranking,agent-step,Validator,,,Rank independently,design-robot:31,file,product,,85,90,,In Progress,design-robot:34,,,,,,different agent = different cascade
design,run | phase | step,design-robot,34,8 ranking,agent-step,Analyst,,,Competitor engineering analysis vs our alternatives,design-robot:21 | design-robot:31,file,product,,85,90,,In Progress,design-robot:35,,,,,,separate session
design,run | phase | step,design-robot,35,8 ranking,agent-step,Validator,,,The same analysis independently,design-robot:21 | design-robot:31,file,product,,85,90,,In Progress,design-robot:36,,,,,,separate session
design,run | phase | step,design-robot,36,8 ranking,human-gate,Yakov,,,Review results / ranking / competitor analysis,design-robot:32 | design-robot:33 | design-robot:34 | design-robot:35,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:37,,,,,,
design,run | phase | step,design-robot,37,8 ranking,human-gate,Yakov,,,Decide the selected alternatives,design-robot:36,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:38,,,,,,
design,run | phase | step,design-robot,38,9 CAD,agent-step,Data gathering,,,Collect STEP files available online,design-robot:37,file,product,,85,90,,In Progress,design-robot:39,,,,,,
design,run | phase | step,design-robot,39,9 CAD,human-gate,Yakov,,,Approve emailing suppliers for missing STEP files,design-robot:38,decision,linear,,,90,Validation required: Human | Waiting for: Yakov,Waiting,design-robot:40,,,,,,OUTBOUND gate - required by the validator for the outbound-send at step 40
design,run | phase | step,design-robot,40,9 CAD,outbound-send,Integration,,,Send the requests,design-robot:38 | design-robot:39,msg-id,linear,,85,90,,In Progress,design-robot:41,,,,,,
design,run | phase | step,design-robot,41,9 CAD,wait-external,Integration,,,Waiting on the outside world: STEP files,design-robot:40,file,product,,85,90,,Waiting,design-robot:42,,,,,,output = the STEP files as received
design,run | phase | step,design-robot,42,9 CAD,agent-step,Engineering Lead,,,Reconcile STEP files against the design,design-robot:38 | design-robot:41,file,run,,85,90,Validation required: Validator LLM,In Progress,design-robot:43a,design-robot:20,3,,,,any gap -> back to 20
design,run | phase | step,design-robot,43a,9 CAD,agent-step,Engineering Lead,,,Final CAD per alternative,design-robot:42,commit,product,,85,90,Validation required: Validator LLM,In Progress,design-robot:43b,,,,,,split from the former single step 43 - one actor per step (ruling 20)
design,run | phase | step,design-robot,43b,9 CAD,script-step,Rendering,,,Render the final CAD per alternative,design-robot:43a,commit,product,,,90,,In Progress,design-robot:44,,,,,,"the live case for the script-step kind (ruling 19): no session, no kit, no confidence - clean exit + declared output"
design,run | phase | step,design-robot,44,9 CAD,agent-step,Analyst,,,Final alternatives document with the ranking,design-robot:32 | design-robot:33 | design-robot:43a | design-robot:43b,file,product,,85,90,,In Progress,design-robot:45,,,,,,
design,run | phase | step,design-robot,45,9 CAD,agent-step,Engineering Lead,,,Submit all canonical documents updated,design-robot:44,commit,product,,85,90,Dry-run: Interface,In Progress,design-robot:46a,,,,,,INTERFACE PROPOSAL - canonical files: show the diff before applying
design,run | phase | step,design-robot,46a,9 CAD,agent-step,Engineering Lead,,,Physical prototype: build / shake and feed test / safety validation,design-robot:43a | design-robot:45,commit,product,,85,90,,In Progress,design-robot:46b,,,,,,split from the former single step 46 - one actor per step (ruling 20)
design,run | phase | step,design-robot,46b,9 CAD,human-gate,Yakov,,,Design lock,design-robot:46a,decision,linear,,,90,Validation required: Human,Done,END:Validated,,,,,,outside the system - a human milestone
ops,run,scheduled-watch,1,watch,agent-step,${watcher},,,Run the scheduled check,${schedule},file,run,,85,90,,In Progress,scheduled-watch:2,,,,,,the actor binds per scheduled task; 28 scheduled tasks are live today
ops,run,scheduled-watch,2,watch,agent-step,Orchestrator,,,Record that the run happened and what it concluded: ran / found nothing / found something,scheduled-watch:1,comment,linear,,85,90,,In Progress,scheduled-watch:3,,,,,,"THE POINT OF THIS FLOW. Every run reports, including a run that found nothing - otherwise a dead watcher and a quiet one look identical. 23 of the 28 live scheduled tasks touch Linear not at all today"
ops,run,scheduled-watch,3,handoff,agent-step,Orchestrator,,,Found something -> open an issue for it as an ordinary task. Found nothing -> the run ends,scheduled-watch:2,issue,linear,8fbeb654-b465-4e35-91f3-25793a19417d,85,90,,Done,END:Done,,,,,,the run ends here either way. A watcher never remediates: it opens an issue and stops; that issue is picked up later as an independent task through its own flow. This row does not call a flow and does not hand the run on (Yakov #4566)
ops,run,reception,1,intake,agent-step,Reception,,,"Read the raw message from the spool and extract the deterministic record: sender name, sender address, date, subject, whether there is an attachment. Write it to the tenant store, never to the issue",${inbound_mail},file,run,,85,90,,In Progress,reception:2,,,,,,"the flow does NOT fetch. mail_fetch is a systemd service on a timer and fills the spool outside any flow - the trigger has always lived outside the flow table, exactly as cron does for scheduled-watch. Deterministic, so it carries no agent confidence The action is deterministic - fixed fields out, no judgement - but the ACTOR is the Reception agent, not a script: mail_fetch is the only service in this flow and it sits outside it."
ops,run,reception,2,intake,agent-step,Reception,,,"OCR every attached document into text and append it to the same record. The row names the CAPABILITY, never an engine or a model - the routing layer decides which engine performs it",reception:1,file,run,,85,90,,In Progress,reception:3,,,,,,"iron rule: a flow row never asks for a specific model. The OCR service is a row in _meta/tools.csv, not a cell here The action is deterministic - fixed fields out, no judgement - but the ACTOR is the Reception agent, not a script: mail_fetch is the only service in this flow and it sits outside it."
ops,run,reception,3,triage,agent-step,Reception,,,"Classify the message into exactly ONE category. If it looks like two, the primary one is chosen and the rest is issue content - never a second route",reception:2,decision,run,,85,90,,In Progress,reception:4,,,,,,"Yakov #5021: one category per email. A fan-out to several categories is deliberately not expressible - the table has one next per row, and that is correct here"
ops,run,reception,4,handoff,agent-step,Reception,,,"Decide whether this message opens an issue, and open it if so: the deterministic fields and the category on the issue, a pointer to the record in the store, and the content NOT in the issue. Whether an issue is opened is decided HERE, per category - it is not a fixed property of incoming mail. Either way the index row is written, and either way the run ends",reception:3,issue,linear,8fbeb654-b465-4e35-91f3-25793a19417d,85,90,,Todo,END:Done,,,,,,"Yakov #5227: opening an issue is decided in the flow and NOWHERE else - sometimes a message earns one and sometimes it does not, and a rigid rule here would be the wrong kind of certainty. The permissions specification already said the same on the Reception agent's Outputs row. What is NOT flexible is the RECORD: every message gets an index row on disk keyed by Message-ID, and 'no issue' must never mean 'no trace' - the same failure the scheduled-watch flow exists to prevent. Spool deletion therefore hangs on the index row, not on an issue's terminal status. The issue, when opened, carries only deterministic values and fixed fields: free text from an unauthenticated source must not land in a field every party with write can read (Yakov #5033, ruling 100). Ruling 77 shape: it opens an issue and stops; that issue is picked up later through its own flow"
ops,run,code-request,1e,request,agent-step,Interface,,,Compose the request against code that ALREADY EXISTS,${request},issue,linear,8fbeb654-b465-4e35-91f3-25793a19417d,85,90,,Backlog,code-request:2,,,,,"which file | who owns it | what changes and why | how it is rolled back | which rulings govern this step - rulings.csv, filtered by branch and subject - and does what you produced match them","the two entry rows are the ONLY difference between an edit and a new-code request - which is why this is one flow and not two. Two near-identical copies of the same four rows drift, the same argument that kept failure out of every flow"
ops,run,code-request,1n,request,agent-step,Interface,,,Compose the request for code that does NOT exist yet,${request},issue,linear,8fbeb654-b465-4e35-91f3-25793a19417d,85,90,,Backlog,code-request:2,,,,,"where did you search and what already exists | where will the file live | what is its file_registry row | which rulings govern this step - rulings.csv, filtered by branch and subject - and does what you produced match them","search before build is a constitution rule, so it is asked here rather than discovered at the gate"
ops,run,code-request,2,architecture,agent-step,Integration,,,Write the architecture verdict on the issue before anyone builds anything,code-request:1e / code-request:1n,comment,linear,,85,90,,Backlog,code-request:3,,,,,"does this change follow the architecture or deviate from it | if it deviates, why | what breaks if it lands | which rulings govern this step - rulings.csv, filtered by branch and subject - and does what you produced match them","a row and not a note, so the human gate has something to gate ON. Weak point stated openly: the same agent that writes this later implements it - the independence comes from the gate that follows, not from the actor"
ops,run,code-request,3,gate,human-gate,Yakov,,,Approve or refuse. Only approval makes the issue dispatchable,code-request:2,decision,linear,,,90,,Waiting,code-request:4 / END:Canceled,,,,,,"the gate sits BEFORE Todo, not inside the run: Todo means may be dispatched, and a gate after dispatch stops work that already holds the single slot. Waiting for: Yakov"
ops,run,code-request,4,plan,agent-step,Integration,,,Plan the change,code-request:3,comment,linear,,85,90,,Todo,code-request:5,,,,,"is this one change or several | if several, what are the steps | which existing behaviour must keep working | which rulings govern this step - rulings.csv, filtered by branch and subject - and does what you produced match them","several -> it splits into step issues under this run's container, using machinery that already exists. No new mechanism"
ops,run,code-request,5,test,agent-step,Integration,,,Declare the tests BEFORE writing a line of code,code-request:4,comment,linear,,85,90,,In Progress,code-request:6,,,,,"which tests will run | what counts as passing | what is NOT covered | which rulings govern this step - rulings.csv, filtered by branch and subject - and does what you produced match them","the same shape as the simulation pass criterion in the robot flow: authored first, binding afterwards. Measured 2026-08-27: the engine had NO testing of any kind - test_contract appeared in zero rows and no skill covered it"
ops,run,code-request,6,build,agent-step,Integration,,,Implement in its own working copy and submit a PR. Nobody writes to the shared tree,code-request:5,commit,product,,85,90,,In Progress,code-request:7,,,,,"which rulings govern this step - rulings.csv, filtered by branch and subject - and does what you produced match them",the merge path ruled on GOL-291
ops,run,code-request,7,merge,script-step,Enforcer,,,"Run the gates and the DECLARED tests on the proposal, then merge on green",code-request:6,commit,product,,,90,,In Progress,code-request:8,code-request:6,4,,,,"enforcement runs BEFORE the change lands, which is what makes it a gate. Red -> back to build, and exhausting the ceiling is Failed like every other loop. Validation stays a COLUMN: the validator checks that the declared tests ran and passed - there is no twin step ; the ceiling is a plain NUMBER - the column carries no names (Yakov #5709)  The decision-log check is a GATE here, not a question: a change that contradicts a ruling in force is red, and a ruling it implements is named by ruling_id in the commit."
ops,run,code-request,8,document,agent-step,Integration,,,Record what changed,code-request:7,comment,linear,,85,90,,Done,END:Done,,,,,"what changed | where is it recorded | does the architecture document need updating | which rulings govern this step - rulings.csv, filtered by branch and subject - and does what you produced match them",the issue carries what changed and the commit; the code carries its own docstrings; a master document is touched only when the change moved the architecture - the same source-of-creation rule
ops,run,F2-single,E8,exit,wait-external,${agent},,,"EXIT - a question to another agent. Suspend / release the slot / attach Waiting for: Agent and fill ^Dependency details^ with the question and the name of EXACTLY ONE agent taken from this step's may_ask cell - an empty cell means this step may not ask at all (ruling 69 is the default). Allowed ONLY when the agent genuinely cannot continue without the answer; anything else stays in the session thread and ignites nobody. The answering run is dispatched at THIS issue's priority at the front of the queue, and carries no asking permission of its own. Past conversation_rounds_max the issue goes to Waiting for: Yakov, and so does a disagreement.",F2-single:2,,,,85,90,Waiting for: Agent,Waiting,F2-single:2,,4,,,,"ruled 2026-08-29, Yakov #5585/#5661/#5668. At most two agents in a conversation - see GOL-347 ; the ceiling is a plain NUMBER - the column carries no names (Yakov #5709)"
ops,run,any,answer,answer,agent-step,${agent},,,"ANSWER a question from another agent. Read the question in ^Dependency details^, answer in a comment on the issue, and REMOVE the tag - which is what wakes the asker. Do not edit the asking issue's fields; the tag is the whole mandate. This row exists so that the answering run resolves a flow row like every other dispatch (GOL-228, the loop, step 4) instead of falling to any:E0, and its may_ask cell is EMPTY on purpose - empty means forbidden, which is the second of the three layers that hold a conversation to two agents (ruling 155).",${issue},comment,linear,,85,90,,-,END:Waiting,,,,,"what the asker needs, or - where it cannot be answered alone - the sentence ""I cannot answer without X"" naming exactly what is missing. The asker decides what to do with that; the answerer never asks onward","ruled 2026-08-29, Yakov #5685. The contradiction it closes: ruling 155 said the answering run executes no flow row of its own, while the loop says every dispatch resolves a row and any:E0 turns ""no row"" into Failed. A row with an empty may_ask keeps ruling 155 word for word and gives the dispatch something to resolve. status_after is - because this step moves no status: the asking issue stays in Waiting until the tag comes off"
